RESPNUM,CCGID,TERM,STRATA,ATYPE,AIRLINE,DEST,GATENUM,INTDATE,Q1,Q2_1,Q2_2,Q2_3,Q2_4,Q2_5,Q2_6,Q3_1,Q3_2,Q3_3,Q3_4,Q3_5,Q3_6,Q3A,Q4A,Q4B,Q4C,Q5,Q5AVG,SAQ,Q6A,Q6B,Q6C,Q6D,Q6E,Q6F,Q6G,Q6H,Q6I,Q6J,Q6K,Q6L,Q6M,Q6N,Q7COM1,Q7COM2,Q7COM3,Q7A1,Q7A2,Q7A3,Q8A,Q8B,Q8C,Q8D,Q8E,Q8F,Q8COM1,Q8COM2,Q8COM3,Q9,Q9APOS1,Q9APOS2,Q9APOS3,Q9ANEG1,Q9ANEG2,Q9ANEG3,Q9ANTR1,Q9ANTR2,Q9ANTR3,Q10,Q11,Q11A1,Q11A2,Q11A3,Q12,Q13A,Q13B,Q13_COM,Q13COM1,Q13COM2,Q13COM3,Q14,Q14A,Q14A1,Q14A2,Q14A3,Q15,SFFLAG,COUNTRY,Q17,AGE,Q18,Q19,INC,MAIL,LANG,DESTMARK,DESTINATION,DESTGEO,WEIGHT,Location 1
1,150,1,2,1,25,1,21,2,2,3,8,,,,,6,11,,,,,9,1,2,2,3,4.5,1,5,3,3,4,4,4,6,6,3,6,6,6,6,4,20,28,57,,,,3,6,6,6,4,4,,,,5,,,,,,,,,,1,3,1,5,,5,5,3,,,,,2,,,,,2,4,30,4,39.5,1,1,25000,1,1,4,LOS ANGELES,1,1.013018,
2,151,1,2,1,25,1,21,2,2,4,8,,,,,2,11,,,,,9,1,1,2,3,4.5,1,6,3,3,4,4,6,6,6,4,6,4,6,6,4,1,78,90,,,,3,6,2,6,2,4,,,,4,,,,,,,,,,2,,,,,2,5,1,,,,,2,,,,,2,3,62,2,21,2,1,25000,1,1,4,LOS ANGELES,1,1.013018,
3,152,1,2,1,25,1,21,2,2,1,8,,,,,6,11,,,,,9,1,1,2,3,4.5,1,6,6,3,4,3,5,6,6,6,6,6,6,6,4,50,,,,,,3,6,6,6,3,3,,,,4,,,,,,,,,,2,,,,,5,3,2,,,,,2,,,,,2,3,62,7,75,2,2,75000,1,1,4,LOS ANGELES,1,1.013018,
4,153,1,2,1,25,1,21,2,2,5,8,,,,,2,11,,,,,9,1,2,2,2,2,1,3,6,6,3,4,3,6,6,2,6,6,6,6,3,90,,,51,,,3,6,6,6,3,4,,,,3,,,,,,,20,,,2,,,,,5,4,2,,,,,2,,,,,2,3,62,5,49.5,2,3,125000,1,1,4,LOS ANGELES,1,1.013018,
5,154,1,2,1,25,1,21,2,1,2,8,,,,,3,11,,,,,9,1,2,2,5,18.5,1,5,5,5,5,4,5,5,5,5,5,5,5,5,5,90,,,,,,5,5,5,5,5,5,,,,4,,,,,,,,,,1,5,3,,,11,5,4,,,,,2,,,,,3,4,62,6,59.5,2,1,25000,1,1,4,LOS ANGELES,1,1.013018,
6,155,1,2,1,25,1,21,2,2,3,8,,,,,6,11,,,,,9,2,2,2,3,4.5,1,6,6,6,4,5,5,6,6,6,6,5,6,6,4,,,,,,,5,6,5,6,6,5,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,6,59.5,2,2,75000,1,1,4,LOS ANGELES,1,1.013018,
7,156,1,2,1,25,1,21,2,2,4,8,,,,,1,11,,,,,1,1,2,2,3,4.5,2,3,2,2,3,3,4,3,3,4,3,4,3,6,4,25,71,,,,,3,3,6,6,2,2,,,,4,6,,,,,,,,,2,,,,,6,3,3,,,,,2,,,,,1,12,62,2,21,1,1,25000,1,1,4,LOS ANGELES,1,1.013018,
8,157,1,2,1,25,1,21,2,2,2,8,,,,,2,11,,,,,9,2,2,2,4,9.5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,,,,,,,5,5,5,5,5,5,,,,5,,,,,,,,,,2,,,,,6,5,5,,,,,2,,,,,1,12,62,6,59.5,2,1,25000,1,1,4,LOS ANGELES,1,1.013018,
9,158,1,2,1,25,1,21,2,2,3,8,,,,,6,11,,,,,9,1,2,1,2,2,2,5,5,5,5,5,4,5,5,5,5,5,6,6,5,,,,,,,5,6,5,6,5,5,,,,5,5,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,62,5,49.5,2,3,125000,1,1,4,LOS ANGELES,1,1.013018,
10,159,1,2,1,25,1,21,2,2,2,10,,,,,2,11,,,,,9,2,2,2,3,4.5,2,5,4,4,4,4,4,6,6,4,5,6,6,6,4,73,,,,,,4,4,6,6,4,3,,,,4,5,,,,,,,,,2,,,,,6,5,5,,11,,,2,,,,,2,3,62,3,29.5,2,3,125000,1,1,4,LOS ANGELES,1,1.013018,
11,160,1,2,1,25,1,21,2,2,1,8,,,,,4,11,,,,,9,2,1,2,4,9.5,2,4,3,3,2,3,3,4,4,2,4,5,3,3,4,51,,,,,,4,3,4,4,3,4,,,,4,,,,,,,,,,2,,,,,6,2,2,,,,,2,,,,,1,12,62,5,49.5,1,2,75000,1,1,4,LOS ANGELES,1,1.013018,
12,161,1,2,1,25,1,21,2,2,2,8,,,,,5,11,,,,,9,1,1,2,3,4.5,2,4,4,4,4,5,5,4,4,6,6,5,6,6,5,,,,,,,5,6,5,6,4,3,,,,5,,,,,,,,,,2,,,,,5,5,4,,,,,2,,,,,1,10,62,2,21,1,3,125000,1,1,4,LOS ANGELES,1,1.013018,
13,162,1,2,2,5,2,32,2,2,2,8,,,,,5,11,,,,,9,2,1,1,2,2,1,6,3,5,4,4,4,6,6,6,6,5,6,6,3,,,,,,,4,6,5,6,4,3,,,,4,,,,,,,,,,2,,,,,5,5,4,,,,,2,,,,,0,4,62,4,39.5,1,2,75000,1,1,4,ATLANTA,2,1.013018,
14,163,1,2,2,5,2,32,2,2,2,8,,,,,7,11,,,,,9,2,2,1,1,1,1,6,3,6,4,4,6,6,6,6,6,6,6,6,3,,,,,,,3,6,6,6,3,3,,,,3,,,,,,,20,,,2,,,,,6,5,3,,,,,2,,,,,2,4,62,7,75,2,4,175000,1,1,4,ATLANTA,2,1.013018,
15,164,1,2,2,5,2,32,2,2,2,8,,,,,9,11,,,,,9,1,1,1,3,4.5,1,6,3,4,5,5,5,6,6,2,6,4,6,3,4,51,9,90,50,,,4,6,4,3,4,3,,,,5,,,,,,,,,,2,,,,,4,4,3,,,,,2,,,,,2,4,62,4,39.5,2,4,175000,1,1,4,ATLANTA,2,1.013018,
16,165,1,2,2,5,2,32,2,2,1,8,,,,,2,11,,,,,9,2,1,2,6,36,1,6,3,3,4,3,4,6,6,5,4,3,6,3,3,90,,,,,,4,6,5,6,4,3,,,,5,,,,,,,,,,2,,,,,7,5,4,,,,,1,,1,,,2,4,62,3,29.5,1,4,175000,1,1,4,ATLANTA,2,1.013018,
17,166,1,2,2,5,2,32,2,2,2,8,,,,,9,11,,,,,9,1,2,1,1,1,1,6,3,6,4,5,6,6,6,1,6,4,6,4,0,56,,,51,,,4,6,4,3,6,3,,,,4,,,,,,,,,,3,,,,,6,4,1,,,,,2,,,,,2,4,62,5,49.5,1,3,125000,1,1,4,ATLANTA,2,1.013018,
36,276,3,1,1,28,2,84,2,2,1,8,,,,,2,11,,,,,9,1,2,2,3,4.5,2,3,3,3,3,4,4,3,3,3,6,4,6,6,3,,,,,,,5,6,4,6,3,3,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,0,,,,,0,5,0,0,,0,0,,1,1,4,CHICAGO,3,1.592296,
18,167,1,2,2,5,2,32,2,2,1,8,,,,,2,11,,,,,9,2,2,2,3,4.5,1,6,3,3,2,0,3,6,6,3,3,4,6,3,3,5,,,51,,,5,4,4,4,4,5,,,,4,,,,,,,,,,2,,,,,5,2,3,,,,,2,,,,,1,12,62,4,39.5,1,2,75000,1,1,4,ATLANTA,2,1.013018,
19,168,1,2,2,5,2,32,2,2,1,8,,,,,2,11,,,,,9,2,2,2,3,4.5,1,4,4,3,4,4,5,5,5,5,4,5,4,5,5,,,,,,,4,4,5,4,4,4,,,,5,,,,,,,,,,1,4,1,2,,6,5,5,,,,,2,,,,,1,12,62,4,39.5,1,2,75000,1,1,4,ATLANTA,2,1.013018,
20,169,1,2,1,25,1,23,2,2,2,8,,,,,7,11,,,,,9,2,1,2,1,1,1,6,6,3,4,6,3,6,6,6,6,6,6,6,4,,,,,,,2,6,6,6,6,4,,,,4,,,,,,,,,,2,,,,,6,5,4,,,,,2,,,,,2,3,62,5,49.5,2,0,,1,1,4,LOS ANGELES,1,1.013018,
21,170,1,2,1,25,1,23,2,2,1,8,,,,,7,11,,,,,9,2,1,2,5,18.5,1,4,4,3,3,2,3,2,2,3,6,3,6,1,1,38,34,9,,,,4,6,3,2,3,3,,,,4,,,,,,,,,,2,,,,,6,3,2,,,,,2,,,,,2,3,62,6,59.5,1,4,175000,1,1,4,LOS ANGELES,1,1.013018,
22,171,1,2,1,25,1,23,2,2,2,8,,,,,4,11,,,,,9,1,1,2,1,1,1,6,6,1,5,5,5,6,6,6,6,6,6,6,3,5,,,,,,4,6,6,6,6,4,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,4,2,3,29.5,2,2,75000,1,1,4,LOS ANGELES,1,1.013018,
23,172,1,2,1,25,1,23,2,2,3,8,,,,,2,11,,,,,9,2,2,2,3,4.5,1,6,3,3,5,4,4,6,6,5,6,4,6,6,4,,,,,,,5,6,4,6,4,3,,,,5,,,,,,,,,,2,,,,,9,5,3,,,,,2,,,,,2,3,62,2,21,1,2,75000,1,1,4,LOS ANGELES,1,1.013018,
24,173,1,2,1,25,1,23,2,2,2,8,,,,,4,11,,,,,9,2,2,2,3,4.5,1,6,6,5,5,5,5,6,6,6,6,6,6,6,5,,,,,,,5,6,6,6,6,5,,,,5,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,2,3,62,2,21,1,2,75000,1,1,4,LOS ANGELES,1,1.013018,
25,174,1,2,1,25,1,23,2,1,1,8,,,,,3,11,,,,,9,1,2,1,2,2,2,3,4,4,4,4,4,6,6,2,2,0,6,1,3,,,,,,,5,6,5,3,3,5,,,,5,,,,,,,,,,2,,,,,11,2,1,,1,,,2,,,,,3,4,62,5,49.5,1,4,175000,1,1,4,LOS ANGELES,1,1.013018,
26,175,1,2,1,25,1,23,2,2,3,8,,,,,6,11,,,,,9,1,1,1,4,9.5,2,2,3,4,4,4,3,2,2,3,6,6,6,6,3,,,,,,,5,6,6,6,5,4,,,,4,,,,,,,,,,2,,,,,5,4,3,,,,,3,,,,,2,3,62,2,21,2,0,,1,1,4,LOS ANGELES,1,1.013018,
27,176,1,2,1,25,1,23,2,2,1,8,,,,,8,11,,,,,9,1,2,1,4,9.5,2,4,4,3,5,5,5,4,4,5,5,5,6,0,5,92,,,,,,4,6,4,6,4,4,,,,0,,,,,,,,,,0,,,,,12,0,0,,,,,0,,,,,2,4,20,7,75,1,4,175000,1,1,4,LOS ANGELES,1,1.013018,
28,177,1,2,1,25,1,23,2,2,3,8,,,,,2,11,,,,,9,1,2,2,1,1,2,3,6,4,4,4,4,6,6,4,6,6,6,6,4,40,,,,,,5,6,6,6,6,4,,,,5,5,,,,,,,,,2,,,,,5,4,4,,,,,2,,,,,2,4,62,7,75,1,0,,1,1,4,LOS ANGELES,1,1.013018,
29,178,1,2,1,25,1,23,2,2,2,8,,,,,4,11,,,,,9,1,2,1,1,1,2,3,1,1,4,4,4,3,3,4,3,6,6,6,3,9,91,,,,,5,6,6,6,3,3,,,,4,2,,,,,,,,,2,,,,,5,4,3,,,,,2,,,,,2,3,62,3,29.5,2,3,125000,1,1,4,LOS ANGELES,1,1.013018,
30,179,1,2,1,25,1,23,2,1,2,8,,,,,3,11,,,,,9,1,2,2,3,4.5,2,4,3,3,3,3,4,3,3,6,6,6,6,6,4,51,,,,,,4,6,6,6,6,4,,,,4,,,,,,,,,,1,4,,,,11,3,2,,,,,2,,,,,3,3,62,3,29.5,1,2,75000,1,1,4,LOS ANGELES,1,1.013018,
31,180,1,2,1,25,1,23,2,2,2,8,,,,,5,11,,,,,9,1,2,2,1,1,2,4,4,2,0,4,4,4,4,4,4,4,4,4,4,,,,,,,4,6,6,6,6,3,,,,4,,,,,,,,,,2,,,,,5,3,1,,,,,2,,,,,2,3,62,3,29.5,1,1,25000,1,1,4,LOS ANGELES,1,1.013018,
32,181,1,2,1,25,1,23,2,2,2,8,,,,,2,11,,,,,9,1,1,1,2,2,2,6,4,4,3,5,5,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,,,,5,,,,,,,,,,1,5,,,,1,4,4,,,,,2,,,,,0,5,0,0,,0,0,,1,1,4,LOS ANGELES,1,1.013018,
33,273,3,1,1,28,2,84,2,2,3,8,,,,,2,11,,,,,9,1,2,2,1,1,1,4,6,6,4,4,4,6,6,3,3,6,3,6,0,50,70,,,,,4,6,6,6,6,3,,,,4,7,,,,,,,,,2,,,,,6,5,5,,,,,2,,,,,1,12,62,8,8,1,0,,1,1,4,CHICAGO,3,1.592296,
34,274,3,1,1,28,2,84,2,2,1,8,,,,,6,11,,,,,9,1,1,1,2,2,1,5,5,5,4,5,5,4,4,3,6,6,4,6,5,95,,,,,,5,5,6,6,5,4,,,,5,5,,,,,,,,,1,4,4,,,6,5,4,,,,,2,,,,,1,12,62,5,49.5,2,4,175000,1,1,4,CHICAGO,3,1.592296,
35,275,3,1,1,28,2,84,2,1,1,8,,,,,3,11,,,,,9,1,1,2,6,36,1,5,3,5,5,5,4,6,6,5,5,6,5,6,4,95,,,,,,4,5,6,6,6,4,,,,5,1,,,,,,,,,1,5,5,,,11,5,4,,,,,2,,,,,3,3,62,6,59.5,0,4,175000,1,1,4,CHICAGO,3,1.592296,
37,277,3,1,1,28,2,84,2,1,1,8,,,,,3,11,,,,,9,2,2,2,1,1,2,3,3,3,3,3,3,3,3,6,6,6,6,6,3,,,,,,,3,3,3,3,3,3,,,,0,,,,,,,,,,3,,,,,11,3,3,,,,,2,,,,,3,4,10,7,75,1,3,125000,1,1,4,CHICAGO,3,1.592296,
38,278,3,1,1,28,2,84,2,1,3,8,,,,,3,11,,,,,9,1,2,1,1,1,2,4,4,4,5,5,5,6,6,5,6,6,6,6,4,,,,,,,5,6,6,6,5,5,,,,0,,,,,,,,,,0,,,,,11,0,0,,,,,0,,,,,3,3,62,6,59.5,2,3,125000,1,1,4,CHICAGO,3,1.592296,
39,279,3,1,1,28,2,84,2,1,2,8,,,,,3,11,,,,,9,1,2,1,1,1,2,4,4,6,3,3,4,3,3,2,6,6,6,6,3,,,,,,,3,6,6,0,5,1,3,,,3,,,,,,,,,,2,,,,,11,0,0,,,,,0,,,,,3,5,0,0,,0,0,,1,1,4,CHICAGO,3,1.592296,
40,280,3,1,1,28,2,84,2,2,2,8,,,,,4,11,,,,,9,1,2,1,1,1,2,3,3,3,4,4,4,6,6,6,6,6,6,6,3,,,,,,,4,6,6,6,4,4,,,,4,,,,,,,,,,2,,,,,5,6,6,,,,,0,,,,,0,5,0,0,,0,0,,1,1,4,CHICAGO,3,1.592296,
41,281,3,1,1,28,2,84,2,2,2,8,,,,,4,11,,,,,9,1,2,2,3,4.5,2,6,4,0,0,5,5,0,5,0,0,0,0,0,0,,,,,,,5,5,5,5,5,5,,,,4,,,,,,,,,,1,4,,,,4,5,5,,,,,2,,,,,2,4,20,7,75,1,2,75000,1,1,4,CHICAGO,3,1.592296,
42,282,3,1,1,28,2,84,2,2,2,8,,,,,4,11,,,,,9,1,0,0,3,4.5,2,6,6,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,3,3,3,3,3,3,,,,3,,,,,,,,,,2,,,,,4,0,0,,,,,2,,,,,2,4,20,6,59.5,0,0,,1,1,4,CHICAGO,3,1.592296,
43,283,3,1,1,28,2,84,2,2,1,8,,,,,2,11,,,,,9,2,2,2,3,4.5,2,3,2,4,4,1,2,2,3,1,1,4,3,4,4,,,,,,,4,3,4,3,5,2,,,,4,,,,,,,,,,2,,,,,6,5,5,,,,,2,,,,,1,12,62,2,21,1,3,125000,1,1,4,CHICAGO,3,1.592296,
44,284,3,1,1,28,2,84,2,2,2,8,,,,,7,11,,,,,9,1,2,2,1,1,2,4,6,6,4,4,6,6,6,6,6,6,6,6,4,95,,,,,,5,6,6,6,6,5,,,,4,1,,,,,,,,,2,,,,,5,4,4,,,,,0,,,,,4,3,62,7,75,1,2,75000,1,1,4,CHICAGO,3,1.592296,
45,285,3,1,1,28,2,84,2,1,5,8,,,,,3,11,,,,,9,1,2,2,1,1,2,6,6,6,4,4,5,6,6,6,6,6,6,6,4,,,,,,,4,6,6,6,6,6,,,,4,,,,,,,,,,2,,,,,11,5,5,,,,,2,,,,,3,4,29,1,15,2,1,25000,1,1,4,CHICAGO,3,1.592296,
46,286,3,1,1,28,2,84,2,1,5,8,,,,,3,11,,,,,9,1,2,2,1,1,2,6,6,6,5,5,5,6,6,6,6,6,6,6,5,,,,,,,5,6,6,6,6,6,,,,5,,,,,,,,,,2,,,,,11,5,5,,,,,2,,,,,3,4,29,5,49.5,1,1,25000,1,1,4,CHICAGO,3,1.592296,
47,287,3,1,1,28,2,84,2,2,1,8,,,,,1,11,,,,,1,1,2,2,3,4.5,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,,,,,,,4,4,4,4,4,4,,,,5,,,,,,,,,,1,5,,,,15,5,5,,,,,2,,,,,4,3,62,4,39.5,1,3,125000,1,1,4,CHICAGO,3,1.592296,
48,288,3,1,1,28,2,84,2,2,1,8,,,,,1,11,,,,,1,1,2,2,3,4.5,2,5,3,3,4,4,4,3,3,4,4,4,3,4,4,,,,,,,3,3,4,4,4,3,,,,4,,,,,,,,,,2,,,,,7,5,3,,,,,2,,,,,1,13,62,5,49.5,1,4,175000,1,1,4,CHICAGO,3,1.592296,
49,289,3,1,1,28,2,84,2,1,1,8,,,,,3,11,,,,,9,1,2,2,1,1,2,6,6,6,6,6,6,6,6,6,6,6,6,6,6,,,,,,,6,6,6,6,6,6,,,,4,,,,,,,,,,0,,,,,11,5,4,,,,,2,,,,,3,5,0,5,49.5,1,0,,1,1,4,CHICAGO,3,1.592296,
50,290,3,1,1,28,2,84,2,1,1,8,,,,,3,11,,,,,9,1,2,2,4,9.5,2,3,3,3,3,3,3,3,3,3,3,3,3,3,0,,,,,,,0,0,0,0,0,0,,,,3,,,,,,,,,,2,,,,,11,0,0,,,,,3,,,,,3,5,0,0,,0,0,,1,1,4,CHICAGO,3,1.592296,
51,291,3,1,1,28,2,84,2,0,1,8,,,,,5,11,,,,,9,2,1,1,3,4.5,2,4,4,3,4,3,4,4,4,4,3,4,6,4,4,,,,,,,4,3,4,4,4,4,,,,4,,,,,,,,,,1,4,,,,5,4,4,,,,,2,,,,,0,5,0,3,29.5,0,0,,1,1,4,CHICAGO,3,1.592296,
52,292,3,1,1,28,2,84,2,2,1,8,,,,,4,11,,,,,9,1,0,0,3,4.5,2,4,4,4,4,4,4,6,6,3,6,4,6,6,4,,,,,,,5,6,4,6,4,4,,,,5,7,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,5,49.5,2,3,125000,1,1,4,CHICAGO,3,1.592296,
53,339,2,2,2,7,3,101,2,1,1,8,,,,,3,11,,,,,9,1,2,2,3,4.5,1,3,3,3,3,4,3,6,6,6,6,6,6,6,4,55,,,,,,4,6,6,6,6,5,,,,3,,,,,,,8,,,2,,,,,11,6,5,,,,,2,,,,,3,4,30,4,39.5,1,2,75000,1,4,3,TOKYO,8,0.636476,
54,340,2,2,2,7,3,101,2,1,3,8,,,,,3,11,,,,,9,2,1,1,1,1,1,3,2,2,4,3,3,3,3,6,6,6,6,6,6,,,,,,,5,6,6,6,5,5,,,,3,,,,,,,,,,2,,,,,11,4,6,,,,,3,,,,,3,4,30,7,75,1,1,25000,1,4,3,TOKYO,8,0.636476,
55,341,2,2,2,7,3,101,2,1,3,8,,,,,3,11,,,,,9,2,2,1,2,2,1,6,3,3,4,4,4,6,3,6,6,6,6,6,6,,,,,,,5,6,6,6,5,5,,,,5,,,,,,,,,,2,,,,,11,5,6,,,,,2,,,,,3,4,30,5,49.5,2,4,175000,1,4,3,TOKYO,8,0.636476,
56,342,2,2,2,7,3,101,2,2,2,8,,,,,6,11,,,,,9,1,2,1,2,2,1,6,4,6,5,5,6,5,5,6,6,6,6,6,5,,,,,,,5,6,6,6,5,5,,,,5,,,,,,,,,,2,,,,,23,5,5,,,,,2,,,,,2,4,30,6,59.5,2,1,25000,1,4,3,TOKYO,8,0.636476,
57,343,2,2,2,7,3,101,2,2,2,8,,,,,5,11,,,,,9,1,1,2,3,4.5,1,5,6,5,5,5,5,6,6,6,6,6,6,6,5,,,,,,,5,6,5,5,6,4,,,,5,,,,,,,,,,1,5,11,,,5,5,5,,,,,2,,,,,2,4,30,3,29.5,1,1,25000,1,4,3,TOKYO,8,0.636476,
58,344,2,2,2,7,3,101,2,2,3,8,,,,,2,11,,,,,9,1,1,2,1,1,1,6,6,4,5,5,5,6,6,6,6,6,6,6,5,,,,,,,5,6,6,6,6,3,,,,5,,,,,,,,,,1,4,5,,,5,5,5,,,,,2,,,,,2,4,30,6,59.5,2,1,25000,1,4,3,TOKYO,8,0.636476,
59,345,2,2,2,7,3,101,2,2,2,8,,,,,2,11,,,,,9,1,1,2,3,4.5,1,6,6,2,5,5,5,6,6,6,6,6,6,6,4,6,7,,,,,4,6,6,6,6,5,,,,3,,,,,,,,,,2,,,,,7,5,5,,,,,2,,,,,2,4,30,3,29.5,1,1,25000,1,4,3,TOKYO,8,0.636476,
60,346,2,2,2,7,3,101,2,2,1,8,,,,,4,11,,,,,9,1,2,1,3,4.5,1,6,3,1,3,4,6,6,6,6,6,6,6,6,4,1,2,,,,,5,6,6,6,6,3,,,,4,,,,,,,,,,1,3,,,,5,5,1,,1,,,2,,,,,2,4,30,5,49.5,1,4,175000,1,4,3,TOKYO,8,0.636476,
61,356,2,2,2,7,3,101,2,1,1,8,,,,,3,11,,,,,9,0,0,0,5,18.5,2,4,3,3,4,0,4,5,5,4,5,3,4,5,4,,,,,,,5,4,4,4,4,3,,,,5,,,,,,,,,,0,,,,,11,1,3,,,,,0,,,,,3,5,0,5,49.5,2,1,25000,1,1,3,TOKYO,8,0.636476,
62,355,2,2,2,7,3,101,2,2,1,8,,,,,8,11,,,,,9,1,2,1,4,9.5,2,4,3,3,4,4,3,6,6,3,6,6,6,6,4,6,7,,,,,5,6,6,6,4,5,,,,5,1,,,,,,,,,3,,,,,7,5,3,,1,,,2,,,,,1,13,62,4,39.5,1,4,175000,1,1,3,TOKYO,8,0.636476,
63,354,2,2,2,7,3,101,2,1,3,8,,,,,3,11,,,,,9,1,1,1,1,1,2,3,3,3,4,4,4,4,4,6,6,6,6,6,4,7,,,,,,5,6,6,6,5,3,,,,4,7,,,,,,,,,1,3,6,,,11,5,5,,,,,2,,,,,3,4,30,3,29.5,2,3,125000,1,1,3,TOKYO,8,0.636476,
64,353,2,2,2,7,3,101,2,2,1,8,,,,,2,11,,,,,9,1,1,1,2,2,2,4,3,3,4,4,3,4,3,3,3,4,3,2,4,6,,,,,,5,4,4,6,3,3,,,,4,,,,,,,,,,1,4,,,,7,3,3,,,,,1,,2,,,1,13,62,4,39.5,1,3,125000,1,1,3,TOKYO,8,0.636476,
65,352,2,2,2,7,3,101,2,1,4,8,,,,,3,11,,,,,9,2,2,1,3,4.5,2,6,2,6,3,4,3,6,6,6,6,6,6,6,3,6,,,,,,5,6,6,6,6,4,6,,,3,,,,,,,20,,,2,,,,,11,5,6,,,,,2,,,,,3,4,62,2,21,1,3,125000,1,1,3,TOKYO,8,0.636476,
66,347,2,2,2,7,3,101,2,1,4,8,,,,,3,11,,,,,9,3,2,1,2,2,2,3,4,4,4,4,4,4,3,2,6,6,6,6,4,,,,,,,5,5,6,6,3,4,,,,0,,,,,,,,,,3,,,,,11,3,3,,,,,2,,,,,3,4,30,2,21,2,1,25000,1,1,3,TOKYO,8,0.636476,
67,348,2,2,2,7,3,101,2,1,4,8,,,,,3,11,,,,,9,2,2,1,1,1,2,6,4,4,4,4,4,4,4,6,6,6,6,6,4,,,,,,,5,6,6,6,4,3,,,,3,,,,,,,20,,,2,,,,,11,5,5,,,,,2,,,,,3,4,62,2,21,2,1,25000,1,1,3,TOKYO,8,0.636476,
68,349,2,2,2,7,3,101,2,2,3,8,,,,,1,11,,,,,4,1,1,2,3,4.5,2,3,3,3,3,3,3,3,3,3,3,6,6,6,3,,,,,,,3,6,6,6,3,4,,,,4,5,,,,,,,,,2,,,,,7,4,4,,,,,2,,,,,1,13,62,4,39.5,2,0,,1,1,3,TOKYO,8,0.636476,
69,350,2,2,2,7,3,101,2,2,2,3,8,,,,2,11,,,,,9,1,1,0,2,2,2,5,4,3,5,5,4,4,4,4,4,5,4,6,4,75,,,,,,5,4,4,6,4,4,,,,5,1,,,,,,,,,2,,,,,9,5,5,,,,,2,,,,,1,15,62,6,59.5,1,1,25000,1,1,3,TOKYO,8,0.636476,
70,351,2,2,2,7,3,101,2,2,3,8,,,,,6,11,,,,,9,1,1,0,1,1,2,3,6,3,3,3,3,6,6,3,6,3,6,6,3,,,,,,,4,6,4,6,6,3,,,,3,,,,,,,,,,2,,,,,5,3,3,,,,,2,,,,,2,4,30,4,39.5,1,2,75000,1,1,3,TOKYO,8,0.636476,
71,422,1,1,1,12,2,45,3,2,2,8,,,,,2,11,,,,,9,1,2,1,1,1,1,6,3,6,5,6,6,6,6,5,6,6,6,6,4,6,97,,,,,4,6,6,6,6,4,,,,5,,,,,,,,,,2,,,,,7,4,4,,,,,2,,,,,1,13,62,7,75,1,2,75000,1,1,3,MINNEAPOLIS,3,1.013018,
72,423,1,1,1,12,2,45,3,1,3,8,,,,,3,11,,,,,9,1,2,2,1,1,1,6,6,6,3,4,1,6,1,5,6,6,6,6,3,20,54,55,,,,4,6,6,6,6,6,,,,5,,,,,,,,,,2,,,,,11,1,3,,2,,,1,,3,,,3,4,24,7,75,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
73,424,1,1,1,12,2,45,3,1,2,8,,,,,3,11,,,,,9,2,2,1,1,1,1,6,4,5,5,6,3,6,6,6,6,5,6,6,5,6,75,55,,,,5,6,5,6,5,5,,,,5,,,,,,,,,,2,,,,,11,5,5,,,,,2,,,,,3,4,9,3,29.5,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
74,425,1,1,1,12,2,45,3,2,2,8,,,,,2,11,,,,,9,1,1,1,2,2,1,5,5,5,5,6,5,6,6,5,6,6,6,6,5,90,,,,,,5,6,6,6,5,5,,,,5,,,,,,,,,,2,,,,,1,5,2,,1,,,2,,,,,2,4,62,5,49.5,2,2,75000,1,1,3,MINNEAPOLIS,3,1.013018,
75,426,1,1,1,12,2,45,3,2,2,3,8,,,,9,11,,,,,9,1,2,1,1,1,1,6,3,6,1,3,4,6,4,1,6,4,6,4,0,50,51,56,,,,3,6,4,4,4,4,,,,4,,,,,,,,,,2,,,,,5,2,1,,1,5,,2,,,,,2,4,62,6,59.5,2,2,75000,1,1,3,MINNEAPOLIS,3,1.013018,
76,427,1,1,1,12,2,45,3,2,1,3,8,,,,2,11,,,,,9,0,1,0,5,18.5,2,5,3,3,3,3,2,5,5,3,4,3,2,4,4,72,,,,,,4,4,4,4,4,4,,,,4,,,,,,,,,,2,,,,,5,5,2,,,,,0,,,,,0,5,0,1,15,1,1,25000,1,1,3,MINNEAPOLIS,3,1.013018,
77,428,1,1,1,12,2,45,3,2,1,8,,,,,1,11,,,,,2,1,0,1,6,36,2,4,4,4,4,4,4,4,4,4,4,4,3,3,4,,,,,,,4,4,4,4,4,3,,,,4,,,,,,,,,,2,,,,,5,5,5,,,,,2,,,,,1,1,62,4,39.5,2,4,175000,1,1,3,MINNEAPOLIS,3,1.013018,
